,Date,Low,High,Close,Open
5032,2019-11-01,82.61,84.29,82.66,84.09
5031,2019-10-31,82.92,84.35,83.61,83.77
5030,2019-10-30,82.9,84.09,84.01,83.32
5029,2019-10-29,82.29,83.87,83.45,82.45
5028,2019-10-28,81.76,82.89,82.66,81.8
5027,2019-10-25,81.08,81.97,81.65,81.45
5026,2019-10-24,81.21,82.09,81.36,81.59
5025,2019-10-23,80.41,81.6,81.27,80.69
5024,2019-10-22,80.5,82.28,80.54,81.81
5023,2019-10-21,81.52,83.28,81.65,83.14
5022,2019-10-18,82.03,83.32,82.79,82.41
5021,2019-10-17,81.47,83.0,82.38,81.52
5020,2019-10-16,79.65,83.69,81.78,81.36
5019,2019-10-15,80.7,82.75,81.98,80.7
5018,2019-10-14,79.42,80.19,79.82,79.69
5017,2019-10-11,79.55,81.33,79.63,80.73
5016,2019-10-10,79.07,80.46,80.14,79.09
5015,2019-10-09,78.88,79.81,79.5,79.31
5014,2019-10-08,78.51,80.56,78.51,80.56
5013,2019-10-07,80.97,81.98,81.04,81.4
5012,2019-10-04,81.29,82.32,81.99,81.3
5011,2019-10-03,78.77,81.13,81.07,79.25
5010,2019-10-02,78.77,81.55,79.53,81.4
5009,2019-10-01,81.77,84.77,81.84,84.03
5008,2019-09-30,82.19,84.39,83.67,82.19
5007,2019-09-27,81.42,83.34,81.84,83.04
5006,2019-09-26,82.09,83.38,82.66,83.28
5005,2019-09-25,82.1,83.05,82.86,82.4
5004,2019-09-24,82.22,84.03,82.44,83.66
5003,2019-09-23,83.13,83.72,83.16,83.43
5002,2019-09-20,82.87,83.88,83.58,83.51
5001,2019-09-19,83.1,84.25,83.23,83.83
5000,2019-09-18,82.85,84.16,83.64,83.58
4999,2019-09-17,83.21,84.5,83.58,83.4
4998,2019-09-16,83.03,83.91,83.36,83.91
4997,2019-09-13,83.89,85.36,84.27,85.3
4996,2019-09-12,84.91,85.99,85.21,85.03
4995,2019-09-11,82.25,84.56,84.52,82.45
4994,2019-09-10,81.02,83.48,83.21,83.44
4993,2019-09-09,83.87,86.43,84.22,86.34
4992,2019-09-06,85.6,86.43,86.04,86.23
4991,2019-09-05,84.56,86.16,85.9,85.0
4990,2019-09-04,83.78,84.7,84.22,84.5
4989,2019-09-03,83.26,84.64,84.06,84.43
4988,2019-08-30,84.63,85.62,85.32,85.47
4987,2019-08-29,84.47,85.11,84.82,85.0
4986,2019-08-28,83.06,84.26,84.22,83.2
4985,2019-08-27,83.22,84.2,83.65,83.82
