,Date,Low,High,Close,Open
4162,2019-11-01,58.91,59.32,58.94,59.24
4161,2019-10-31,58.76,59.3,59.27,59.26
4160,2019-10-30,58.41,58.99,58.98,58.7
4159,2019-10-29,57.58,58.46,58.06,57.6
4158,2019-10-28,57.685,58.43,57.74,58.35
4157,2019-10-25,58.25,58.618,58.29,58.41
4156,2019-10-24,57.81,58.363,58.14,58.34
4155,2019-10-23,57.63,58.17,57.71,58.05
4154,2019-10-22,58.09,58.86,58.1,58.79
4153,2019-10-21,58.48,58.95,58.5,58.86
4152,2019-10-18,58.695,59.08,59.01,58.92
4151,2019-10-17,58.58,59.17,59.07,58.61
4150,2019-10-16,57.69,58.14,57.85,57.8
4149,2019-10-15,57.06,58.39,57.82,57.12
4148,2019-10-14,56.52,57.45,57.03,56.56
4147,2019-10-11,56.22,56.545,56.23,56.34
4146,2019-10-10,56.05,56.46,56.24,56.23
4145,2019-10-09,56.01,56.4,56.25,56.14
4144,2019-10-08,55.98,56.65,55.98,56.58
4143,2019-10-07,56.9,57.39,56.98,56.97
4142,2019-10-04,56.61,57.23,57.14,56.82
4141,2019-10-03,56.0,56.82,56.66,56.03
4140,2019-10-02,56.39,57.1,56.75,56.69
4139,2019-10-01,57.53,58.075,57.67,58.0
4138,2019-09-30,58.28,58.79,58.29,58.46
4137,2019-09-27,58.44,59.06,58.6,58.85
4136,2019-09-26,58.65,59.36,58.85,59.23
4135,2019-09-25,59.21,59.89,59.36,59.39
4134,2019-09-24,59.482,60.58,59.71,60.45
4133,2019-09-23,59.63,60.78,60.58,59.71
4132,2019-09-20,59.41,59.98,59.77,59.55
4131,2019-09-19,59.18,59.64,59.24,59.51
4130,2019-09-18,59.41,59.89,59.48,59.41
4129,2019-09-17,59.1,59.97,59.83,59.27
4128,2019-09-16,59.08,59.57,59.46,59.2
4127,2019-09-13,59.37,59.9,59.45,59.67
4126,2019-09-12,59.58,59.89,59.77,59.66
4125,2019-09-11,59.39,60.4,59.75,59.46
4124,2019-09-10,58.23,60.19,60.19,58.52
4123,2019-09-09,58.59,59.37,58.6,59.37
4122,2019-09-06,59.77,60.33,59.84,60.05
4121,2019-09-05,59.78,60.61,59.79,60.48
4120,2019-09-04,60.47,60.91,60.58,60.66
4119,2019-09-03,60.3,60.8,60.56,60.51
4118,2019-08-30,60.78,61.24,60.96,60.99
4117,2019-08-29,60.42,61.28,60.86,60.54
4116,2019-08-28,59.42,61.24,60.85,60.16
4115,2019-08-27,58.53,60.97,60.57,58.58
4114,2019-08-26,58.46,58.95,58.56,58.7
4113,2019-08-23,58.09,59.39,58.62,59.39
4112,2019-08-22,59.66,60.9,59.73,60.22
4111,2019-08-21,60.02,61.48,60.51,60.11
4110,2019-08-20,61.44,62.63,62.42,61.71
4109,2019-08-19,60.4,62.29,61.75,60.4
4108,2019-08-16,58.9,60.99,60.85,59.944
4107,2019-08-15,58.9,59.74,59.58,58.9
4106,2019-08-14,58.79,59.31,58.89,59.05
4105,2019-08-13,59.02,60.04,59.89,59.0228
4104,2019-08-12,59.17,59.91,59.43,59.64
4103,2019-08-09,59.48,60.12,59.95,59.54
4102,2019-08-08,59.05,59.9061,59.64,59.25
4101,2019-08-07,58.88,59.66,59.59,58.9
4100,2019-08-06,58.315,58.95,58.88,58.44
4099,2019-08-05,57.82,58.37,58.2,57.99
4098,2019-08-02,58.2,59.06,58.92,59.0
4097,2019-08-01,58.5,59.53,58.88,58.59
4096,2019-07-31,58.465,59.08,58.75,58.62
4095,2019-07-30,58.55,59.4033,59.05,58.7
4094,2019-07-29,58.98,59.5,59.47,59.32
4093,2019-07-26,58.61,59.57,59.36,58.61
4092,2019-07-25,58.336,59.04,58.87,58.75
4091,2019-07-24,58.67,59.21,59.03,58.86
4090,2019-07-23,59.46,59.97,59.71,59.77
4089,2019-07-22,59.67,60.288,59.8,60.04
4088,2019-07-19,59.9089,60.69,60.08,60.33
4087,2019-07-18,60.212,60.95,60.9,60.29
4086,2019-07-17,60.71,61.1,60.74,60.96
4085,2019-07-16,60.28,60.91,60.5,60.85
4084,2019-07-15,60.9042,61.24,61.02,61.07
4083,2019-07-12,60.88,61.4579,61.41,60.96
4082,2019-07-11,61.135,61.73,61.53,61.64
4081,2019-07-10,60.76,61.2,61.13,60.8701
4080,2019-07-09,60.3,60.93,60.69,60.66
4079,2019-07-08,60.69,61.36,61.1,60.76
4078,2019-07-05,60.82,61.61,60.86,61.5
4077,2019-07-03,62.29,62.95,62.41,62.81
4076,2019-07-02,61.51,62.56,62.42,61.62
4075,2019-07-01,61.5,62.26,61.74,61.6053
4074,2019-06-28,61.08,62.25,62.05,61.08
4073,2019-06-27,59.67,60.37,60.24,59.7
4072,2019-06-26,59.196,60.23,60.04,59.24
4071,2019-06-25,58.69,59.43,58.96,58.9991
4070,2019-06-24,59.27,59.86,59.53,59.5
4069,2019-06-21,59.15,59.99,59.82,59.3
4068,2019-06-20,59.35,59.98,59.57,59.43
4067,2019-06-19,58.5599,59.34,59.25,58.86
4066,2019-06-18,58.47,59.16,58.5,58.6
4065,2019-06-17,57.65,58.51,58.31,57.66
4064,2019-06-14,57.78,58.35,57.9,58.09
4063,2019-06-13,58.541,59.14,59.03,58.87
4062,2019-06-12,58.78,59.44,59.33,59.0114
4061,2019-06-11,59.04,59.47,59.23,59.34
4060,2019-06-10,58.448,59.35,59.11,58.57
4059,2019-06-07,58.73,59.26,58.82,58.91
4058,2019-06-06,58.2,58.91,58.59,58.51
4057,2019-06-05,58.56,59.05,58.66,58.93
