,Date,Low,High,Close,Open
5032,2019-11-01,256.915,260.1,258.15,257.7
5031,2019-10-31,254.01,257.03,256.0,255.58
5030,2019-10-30,253.95,256.17,255.95,254.09
5029,2019-10-29,246.05,257.27,254.28,246.92
5028,2019-10-28,244.59,249.15,246.08,245.75
5027,2019-10-25,244.22,248.07,244.3,245.9
5026,2019-10-24,244.76,252.89,245.9,252.89
5025,2019-10-23,250.55,253.02,251.6,252.28
5024,2019-10-22,249.88,256.51,250.28,254.39
5023,2019-10-21,253.98,259.15,254.1,257.11
5022,2019-10-18,255.74,259.12,258.59,256.66
5021,2019-10-17,253.68,258.07,256.8,254.0
5020,2019-10-16,250.92,254.02,252.94,252.44
5019,2019-10-15,251.02,254.54,253.28,252.41
5018,2019-10-14,250.46,252.86,250.72,252.86
5017,2019-10-11,251.38,254.98,252.86,252.06
5016,2019-10-10,245.71,249.61,248.54,246.58
5015,2019-10-09,245.35,248.63,247.81,246.37
5014,2019-10-08,244.09,248.23,244.48,247.8
5013,2019-10-07,249.48,253.0,249.58,251.8
5012,2019-10-04,250.36,253.3,253.11,251.88
5011,2019-10-03,245.08,251.25,250.91,247.57
5010,2019-10-02,245.08,250.21,247.87,249.25
5009,2019-10-01,250.1,256.34,250.64,254.22
5008,2019-09-30,248.76,254.41,252.96,249.05
5007,2019-09-27,247.48,252.31,248.03,252.29
5006,2019-09-26,248.21,254.83,250.54,254.83
5005,2019-09-25,250.5,254.66,253.95,250.9
5004,2019-09-24,249.5,256.11,251.02,254.64
5003,2019-09-23,253.08,255.54,253.43,253.39
5002,2019-09-20,253.28,256.63,253.55,255.6
5001,2019-09-19,256.06,259.07,256.38,257.54
5000,2019-09-18,255.19,259.31,257.52,258.0
4999,2019-09-17,257.57,259.93,258.15,259.81
4998,2019-09-16,257.95,259.86,258.73,259.28
4997,2019-09-13,259.83,262.87,260.7,262.82
4996,2019-09-12,258.99,263.84,262.15,263.61
4995,2019-09-11,255.29,261.47,261.0,260.05
4994,2019-09-10,253.22,260.51,260.51,257.08
4993,2019-09-09,256.95,263.51,257.8,263.42
4992,2019-09-06,257.42,264.74,262.48,258.92
4991,2019-09-05,256.22,258.95,258.48,257.6
4990,2019-09-04,249.27,255.09,254.71,250.08
4989,2019-09-03,245.91,252.71,248.03,251.16
4988,2019-08-30,252.82,256.72,253.92,256.72
4987,2019-08-29,253.72,255.56,255.04,255.2
4986,2019-08-28,248.91,253.94,253.01,249.02
4985,2019-08-27,248.19,253.36,250.32,251.01
4984,2019-08-26,247.55,251.2,248.81,250.34
4983,2019-08-23,247.24,255.81,248.31,254.65
4982,2019-08-22,253.97,257.09,255.18,254.0
4981,2019-08-21,250.71,253.5,253.37,250.77
4980,2019-08-20,249.15,254.37,249.28,251.74
4979,2019-08-19,249.43,252.69,251.48,251.05
