,Date,Low,High,Close,Open
5032,2019-11-01,24.94,26.0,25.92,24.96
5031,2019-10-31,24.53,25.07,24.84,24.86
5030,2019-10-30,24.17,24.95,24.89,24.46
5029,2019-10-29,23.92,24.59,24.47,24.02
5028,2019-10-28,23.59,24.26,24.05,23.61
5027,2019-10-25,22.78,24.06,23.53,22.88
5026,2019-10-24,22.41,22.81,22.66,22.66
5025,2019-10-23,22.41,22.68,22.56,22.5
5024,2019-10-22,22.5,23.09,22.58,22.98
5023,2019-10-21,22.46,23.12,22.86,22.57
5022,2019-10-18,22.24,22.77,22.54,22.68
5021,2019-10-17,22.31,22.85,22.8,22.37
5020,2019-10-16,21.5,22.48,22.17,21.57
5019,2019-10-15,20.81,22.04,21.34,21.0
5018,2019-10-14,20.43,21.09,20.9,20.5
5017,2019-10-11,19.42,21.01,20.62,19.58
5016,2019-10-10,19.14,19.57,19.28,19.14
5015,2019-10-09,19.13,19.69,19.22,19.6
5014,2019-10-08,18.88,19.71,19.4,19.08
5013,2019-10-07,18.72,19.43,19.29,19.04
5012,2019-10-04,19.09,19.74,19.1,19.62
5011,2019-10-03,18.8,19.55,19.5,18.94
5010,2019-10-02,18.84,19.35,18.89,19.31
5009,2019-10-01,19.12,21.58,19.67,21.58
5008,2019-09-30,21.56,21.88,21.85,21.64
5007,2019-09-27,21.62,22.03,21.7,21.98
5006,2019-09-26,21.52,22.23,21.85,21.93
5005,2019-09-25,21.73,22.25,21.79,21.97
5004,2019-09-24,21.79,22.75,22.02,22.51
5003,2019-09-23,22.53,22.94,22.56,22.66
5002,2019-09-20,22.81,23.37,22.86,23.16
5001,2019-09-19,22.95,23.36,23.15,23.2
5000,2019-09-18,22.83,23.19,23.19,23.0
4999,2019-09-17,22.68,23.44,23.08,23.21
4998,2019-09-16,23.16,23.53,23.37,23.33
4997,2019-09-13,23.18,24.09,23.24,23.89
4996,2019-09-12,23.08,24.01,23.75,23.14
4995,2019-09-11,22.23,23.1,23.09,22.23
4994,2019-09-10,21.69,22.55,22.49,21.69
4993,2019-09-09,21.94,22.38,22.09,22.18
4992,2019-09-06,21.75,22.52,22.18,21.75
4991,2019-09-05,21.26,21.87,21.72,21.35
4990,2019-09-04,21.28,21.91,21.33,21.71
4989,2019-09-03,21.04,21.6,21.55,21.17
4988,2019-08-30,21.13,21.72,21.34,21.62
4987,2019-08-29,21.08,21.52,21.51,21.08
4986,2019-08-28,20.74,21.29,21.0,20.8
4985,2019-08-27,20.91,21.7,20.98,21.68
4984,2019-08-26,21.34,21.66,21.48,21.34
4983,2019-08-23,21.25,22.13,21.33,21.88
4982,2019-08-22,21.88,22.48,22.1,22.45
4981,2019-08-21,21.67,22.61,22.4,21.68
4980,2019-08-20,21.22,22.03,21.26,21.71
4979,2019-08-19,21.28,21.9,21.83,21.66
4978,2019-08-16,20.64,21.53,21.3,21.01
4977,2019-08-15,20.64,21.53,20.88,21.52
4976,2019-08-14,21.08,22.32,21.08,22.24
4975,2019-08-13,21.9891,22.76,22.69,22.06
4974,2019-08-12,22.175,22.66,22.3,22.51
4973,2019-08-09,22.36,22.87,22.62,22.74
4972,2019-08-08,22.0783,22.98,22.75,22.66
4971,2019-08-07,21.28,22.64,22.39,22.23
4970,2019-08-06,21.53,24.07,22.58,23.61
4969,2019-08-05,22.31,23.36,23.32,22.45
4968,2019-08-02,23.36,23.95,23.9,23.72
4967,2019-08-01,23.67,24.4,23.85,24.32
4966,2019-07-31,23.87,24.73,23.97,24.56
4965,2019-07-30,24.06,24.67,24.65,24.34
4964,2019-07-29,24.04,24.75,24.44,24.11
4963,2019-07-26,23.4,23.93,23.81,23.56
4962,2019-07-25,23.46,23.95,23.51,23.92
4961,2019-07-24,23.48,23.88,23.79,23.63
4960,2019-07-23,23.3,23.73,23.65,23.37
4959,2019-07-22,23.1307,23.67,23.26,23.33
4958,2019-07-19,22.9,23.25,23.18,23.09
4957,2019-07-18,22.79,23.34,23.1,22.96
4956,2019-07-17,22.73,23.29,22.91,23.18
4955,2019-07-16,23.15,23.6,23.17,23.6
4954,2019-07-15,23.13,23.72,23.44,23.61
4953,2019-07-12,23.4,24.0,23.61,23.79
4952,2019-07-11,23.6,24.99,23.87,24.81
4951,2019-07-10,24.75,25.21,24.92,25.06
4950,2019-07-09,24.5,25.14,24.99,24.69
4949,2019-07-08,24.64,25.42,24.89,25.1
4948,2019-07-05,25.1897,25.84,25.28,25.51
4947,2019-07-03,25.28,25.9,25.66,25.32
4946,2019-07-02,24.61,25.27,25.23,25.05
4945,2019-07-01,25.045,25.85,25.06,25.58
4944,2019-06-28,24.64,25.28,25.22,24.95
4943,2019-06-27,24.61,25.41,24.84,24.94
4942,2019-06-26,24.4,25.16,25.0,24.97
4941,2019-06-25,24.0695,25.32,24.38,24.27
4940,2019-06-24,23.35,23.89,23.76,23.82
4939,2019-06-21,23.49,24.22,23.82,24.16
4938,2019-06-20,23.37,24.55,24.3,23.66
4937,2019-06-19,22.51,23.16,22.88,22.59
4936,2019-06-18,21.92,22.81,22.44,22.04
4935,2019-06-17,21.45,22.05,22.0,21.45
4934,2019-06-14,21.39,21.89,21.47,21.72
4933,2019-06-13,21.6,22.05,21.82,21.6
4932,2019-06-12,21.13,22.13,21.61,22.02
4931,2019-06-11,21.89,22.38,22.13,21.89
4930,2019-06-10,21.29,21.95,21.68,21.41
4929,2019-06-07,21.033,21.48,21.24,21.25
4928,2019-06-06,21.01,21.4,21.11,21.25
4927,2019-06-05,21.0,21.65,21.32,21.43
4926,2019-06-04,20.76,21.4002,21.36,20.86
4925,2019-06-03,20.27,21.09,20.52,20.69
4924,2019-05-31,20.455,21.09,20.73,21.0
4923,2019-05-30,21.2,22.21,21.45,22.0
4922,2019-05-29,21.5,22.44,22.08,22.41
4921,2019-05-28,22.54,24.098,22.57,23.64
4920,2019-05-24,23.51,23.94,23.52,23.82
4919,2019-05-23,23.58,24.15,23.67,24.12
4918,2019-05-22,24.33,24.645,24.44,24.51
4917,2019-05-21,24.05,24.54,24.49,24.24
4916,2019-05-20,24.12,25.0,24.23,24.92
4915,2019-05-17,24.765,25.21,25.06,24.89
4914,2019-05-16,25.13,25.5,25.24,25.48
4913,2019-05-15,24.455,25.36,25.28,24.6911
4912,2019-05-14,24.4809,25.05,24.93,24.5
4911,2019-05-13,24.075,25.05,24.57,24.75
4910,2019-05-10,24.5,26.0,25.32,26.0
4909,2019-05-09,25.537,26.31,26.09,26.01
4908,2019-05-08,25.58,26.79,26.45,25.73
4907,2019-05-07,24.79,25.74,25.49,25.31
4906,2019-05-06,23.26,25.68,25.48,23.38
4905,2019-05-03,23.24,23.96,23.44,23.61
4904,2019-05-02,22.56,23.54,23.51,22.68
4903,2019-05-01,22.755,23.55,22.78,23.14
4902,2019-04-30,23.08,23.7,23.09,23.7
4901,2019-04-29,23.48,23.96,23.63,23.8
4900,2019-04-26,23.6,24.06,23.8,23.89
4899,2019-04-25,22.69,23.98,23.72,23.09
4898,2019-04-24,23.005,23.46,23.01,23.46
4897,2019-04-23,22.77,23.495,23.47,22.99
4896,2019-04-22,22.65,23.29,22.92,22.82
4895,2019-04-18,22.68,23.3,23.13,23.0812
4894,2019-04-17,22.99,24.27,23.05,24.15
