,Date,Low,High,Close,Open
5032,2019-11-01,131.14,133.0,131.2,132.05
5031,2019-10-31,130.89,132.84,132.04,132.38
5030,2019-10-30,131.73,133.53,132.84,133.3
5029,2019-10-29,128.56,129.97,129.12,129.7
5028,2019-10-28,128.51,130.0,129.18,128.62
5027,2019-10-25,127.31,129.1,128.35,127.83
5026,2019-10-24,126.1,130.58,127.5,130.42
5025,2019-10-23,129.07,130.48,129.9,129.66
5024,2019-10-22,128.09,130.54,129.2,128.76
5023,2019-10-21,127.06,129.67,128.02,128.67
5022,2019-10-18,127.7,134.39,127.7,133.31
5021,2019-10-17,135.65,137.49,136.17,135.96
5020,2019-10-16,133.8,136.59,135.17,134.9
5019,2019-10-15,132.1,134.25,132.84,133.0
5018,2019-10-14,130.42,131.36,130.72,131.36
5017,2019-10-11,130.82,132.62,131.33,131.14
5016,2019-10-10,128.63,130.12,129.06,128.95
5015,2019-10-09,128.52,131.25,129.22,131.14
5014,2019-10-08,131.49,133.26,131.84,132.45
5013,2019-10-07,132.14,133.82,133.16,133.09
5012,2019-10-04,131.25,133.72,133.66,131.34
5011,2019-10-03,130.01,132.37,131.19,131.64
5010,2019-10-02,131.22,134.7,132.0,132.76
5009,2019-10-01,129.77,130.8,129.99,130.02
5008,2019-09-30,129.0,130.28,129.38,129.07
5007,2019-09-27,126.7,129.4,128.6,128.61
5006,2019-09-26,128.03,131.31,128.85,131.09
5005,2019-09-25,130.23,131.57,130.99,131.5
5004,2019-09-24,131.34,132.78,131.55,132.1
5003,2019-09-23,130.49,132.05,131.74,131.02
5002,2019-09-20,130.29,132.0,131.65,131.0
5001,2019-09-19,129.36,131.19,130.11,129.63
5000,2019-09-18,128.78,130.56,130.41,129.9
4999,2019-09-17,129.11,130.5,129.67,129.6
4998,2019-09-16,129.33,130.75,129.54,130.11
4997,2019-09-13,129.96,131.57,130.78,131.33
4996,2019-09-12,130.06,131.77,130.43,131.36
4995,2019-09-11,129.08,131.28,131.17,129.86
4994,2019-09-10,126.34,129.55,129.55,127.34
4993,2019-09-09,126.59,128.16,126.95,128.0
4992,2019-09-06,128.07,129.23,128.21,128.88
4991,2019-09-05,128.31,129.9,128.58,129.9
4990,2019-09-04,128.08,129.59,128.86,129.49
4989,2019-09-03,127.51,128.98,128.74,127.99
4988,2019-08-30,127.62,129.1,128.36,128.27
4987,2019-08-29,126.83,129.2,128.24,128.84
4986,2019-08-28,127.01,128.87,128.68,127.86
4985,2019-08-27,129.1,132.4,129.64,129.88
4984,2019-08-26,126.63,128.08,127.8,127.42
4983,2019-08-23,127.13,131.26,127.73,131.07
4982,2019-08-22,130.8,132.13,131.27,131.6
4981,2019-08-21,130.85,132.41,131.53,131.7
4980,2019-08-20,130.46,132.66,130.6,131.96
4979,2019-08-19,131.82,132.57,132.25,132.5
4978,2019-08-16,129.25,131.67,131.36,131.4616
4977,2019-08-15,129.25,131.07,130.54,130.17
4976,2019-08-14,130.1195,132.54,130.26,132.53
4975,2019-08-13,131.9971,134.1,133.42,132.3
4974,2019-08-12,131.29,132.7,131.93,131.5
4973,2019-08-09,131.23,132.76,132.04,131.8
4972,2019-08-08,130.23,131.945,131.68,130.98
4971,2019-08-07,128.19,130.905,130.21,129.36
4970,2019-08-06,129.59,131.22,130.77,130.34
4969,2019-08-05,129.01,131.46,130.16,130.91
4968,2019-08-02,129.7737,131.47,131.07,130.86
4967,2019-08-01,129.02,130.74,130.29,130.26
4966,2019-07-31,130.1806,132.0,130.22,131.64
4965,2019-07-30,131.27,132.49,132.08,132.47
4964,2019-07-29,130.2062,133.31,133.02,131.0
4963,2019-07-26,130.4862,131.3,130.73,131.3
4962,2019-07-25,129.67,131.53,131.12,130.06
4961,2019-07-24,128.5719,129.79,129.78,128.88
4960,2019-07-23,128.16,129.45,128.84,128.61
4959,2019-07-22,127.84,130.15,128.64,130.0
4958,2019-07-19,130.19,132.39,130.31,132.25
4957,2019-07-18,131.17,132.51,132.07,132.13
4956,2019-07-17,131.41,133.58,131.86,132.4977
4955,2019-07-16,131.75,133.83,132.5,132.93
4954,2019-07-15,134.45,136.36,134.71,135.3808
4953,2019-07-12,132.32,140.12,134.3,140.12
4952,2019-07-11,139.02,141.21,140.11,140.94
4951,2019-07-10,140.6706,141.99,141.21,141.78
4950,2019-07-09,140.91,142.47,141.41,141.46
4949,2019-07-08,139.6477,141.08,140.97,140.12
4948,2019-07-05,140.37,141.864,140.57,141.74
4947,2019-07-03,140.79,142.18,142.14,141.0
4946,2019-07-02,138.69,140.03,140.03,139.22
4945,2019-07-01,138.72,140.26,139.36,140.2
4944,2019-06-28,138.505,141.1,139.28,140.74
4943,2019-06-27,140.605,142.5,140.69,142.23
4942,2019-06-26,140.76,143.85,141.85,143.851
4941,2019-06-25,143.19,144.98,144.24,143.27
4940,2019-06-24,142.0858,143.7,143.06,142.42
4939,2019-06-21,141.01,142.425,142.09,141.46
4938,2019-06-20,141.0,142.4,142.21,141.25
4937,2019-06-19,139.91,140.97,140.45,140.01
4936,2019-06-18,139.79,140.93,140.23,140.56
4935,2019-06-17,139.21,140.24,139.44,139.9954
4934,2019-06-14,140.04,141.485,140.09,141.23
4933,2019-06-13,140.21,141.95,140.71,141.72
4932,2019-06-12,140.3004,142.91,141.68,140.3
4931,2019-06-11,139.5,140.66,139.78,139.68
4930,2019-06-10,137.6,139.15,139.02,138.6
4929,2019-06-07,137.14,139.59,138.55,137.59
4928,2019-06-06,134.59,137.66,136.68,134.9
4927,2019-06-05,133.86,135.13,134.38,134.7
4926,2019-06-04,132.58,134.3,133.73,132.6
4925,2019-06-03,131.04,132.4,131.44,131.4854
4924,2019-05-31,129.61,132.0,131.15,131.52
4923,2019-05-30,131.17,132.82,132.11,131.44
4922,2019-05-29,128.52,135.89,131.33,135.89
4921,2019-05-28,137.0,140.49,137.07,138.9934
4920,2019-05-24,138.56,139.4991,138.85,139.5
4919,2019-05-23,137.67,139.85,139.79,138.5
4918,2019-05-22,137.485,138.95,138.76,138.35
4917,2019-05-21,138.08,139.57,138.12,139.12
4916,2019-05-20,137.68,138.96,138.42,138.61
4915,2019-05-17,136.8587,139.03,138.61,137.0
4914,2019-05-16,136.97,139.193,138.21,137.39
4913,2019-05-15,135.33,137.49,136.91,136.9
4912,2019-05-14,136.73,137.84,136.82,137.04
4911,2019-05-13,136.53,138.06,137.2,137.85
4910,2019-05-10,136.41,139.25,139.05,138.43
4909,2019-05-09,137.64,139.32,138.73,138.95
4908,2019-05-08,139.7,140.92,139.79,140.2
4907,2019-05-07,139.06,141.38,139.97,140.82
4906,2019-05-06,139.93,142.24,142.09,140.25
4905,2019-05-03,141.08,142.09,142.01,141.29
4904,2019-05-02,140.12,142.15,141.28,141.91
4903,2019-05-01,139.75,142.35,141.95,140.95
4902,2019-04-30,138.96,141.45,141.2,140.19
4901,2019-04-29,139.58,140.43,139.84,140.35
4900,2019-04-26,139.31,140.524,140.39,139.8779
4899,2019-04-25,137.96,139.77,139.65,138.52
4898,2019-04-24,138.8623,140.14,139.2,139.65
4897,2019-04-23,137.25,140.85,139.9,137.42
4896,2019-04-22,136.458,138.49,137.83,136.98
4895,2019-04-18,135.75,140.24,137.52,139.35
4894,2019-04-17,137.67,140.146,138.52,139.0
4893,2019-04-16,137.56,140.7,138.02,138.32
4892,2019-04-15,135.8,136.79,136.52,136.0
4891,2019-04-12,134.75,136.35,135.98,135.22
4890,2019-04-11,134.42,136.1829,135.21,135.96
4889,2019-04-10,135.33,136.13,135.58,135.89
4888,2019-04-09,134.56,136.26,135.57,136.0
4887,2019-04-08,135.7,136.51,136.14,136.05
4886,2019-04-05,135.7,136.58,136.18,136.04
4885,2019-04-04,135.13,137.005,135.57,136.8706
4884,2019-04-03,136.87,138.24,137.17,138.2018
4883,2019-04-02,136.91,139.01,137.71,139.01
4882,2019-04-01,138.735,140.29,138.98,139.99
4881,2019-03-29,138.88,139.88,139.79,139.28
4880,2019-03-28,138.71,139.46,138.88,139.06
4879,2019-03-27,138.07,139.48,138.7,138.59
4878,2019-03-26,136.93,139.27,138.57,136.93
4877,2019-03-25,135.74,137.01,136.61,136.91
4876,2019-03-22,136.86,138.39,136.91,137.75
4875,2019-03-21,136.95,138.78,138.1,137.0
4874,2019-03-20,136.65,138.51,137.29,138.33
4873,2019-03-19,137.47,138.82,138.44,137.6177
4872,2019-03-18,136.72,137.78,137.17,137.65
4871,2019-03-15,136.83,138.26,137.6,138.0
4870,2019-03-14,137.94,138.8,138.02,138.34
4869,2019-03-13,139.02,139.84,139.41,139.59
4868,2019-03-12,138.5,140.0,139.18,138.65
4867,2019-03-11,137.52,139.03,138.56,138.11
4866,2019-03-08,136.42,139.3008,138.06,138.09
4865,2019-03-07,137.7,139.12,138.24,138.53
4864,2019-03-06,138.6,139.65,139.09,139.47
4863,2019-03-05,138.36,139.14,138.77,138.81
4862,2019-03-04,137.51,139.4118,138.48,138.85
4861,2019-03-01,137.01,138.61,138.35,137.22
4860,2019-02-28,135.69,137.955,136.64,135.95
4859,2019-02-27,135.39,136.25,135.87,135.52
4858,2019-02-26,136.05,136.96,136.11,136.44
4857,2019-02-25,135.86,137.4968,136.2,136.35
4856,2019-02-22,134.82,136.64,136.6,135.29
4855,2019-02-21,134.269,135.787,135.42,134.98
4854,2019-02-20,135.7247,136.73,136.35,135.97
4853,2019-02-19,135.63,136.38,135.69,136.14
4852,2019-02-15,135.01,136.41,136.38,135.19
4851,2019-02-14,133.35,134.82,134.31,134.3
4850,2019-02-13,133.21,134.98,134.45,134.0716
4849,2019-02-12,132.08,134.3,134.16,132.08
4848,2019-02-11,131.26,132.6551,132.0,132.31
4847,2019-02-08,131.54,132.46,132.4,131.95
4846,2019-02-07,131.53,132.64,132.05,132.45
4845,2019-02-06,132.3,133.565,133.0,133.08
4844,2019-02-05,132.75,133.88,132.88,133.52
4843,2019-02-04,132.21,134.15,132.88,133.96
4842,2019-02-01,133.47,134.69,134.2,134.02
4841,2019-01-31,130.87,135.19,133.08,131.63
4840,2019-01-30,130.3,132.19,131.64,130.37
4839,2019-01-29,128.5,130.47,130.33,128.95
4838,2019-01-28,127.29,129.15,128.99,127.81
4837,2019-01-25,127.18,128.45,128.23,128.13
4836,2019-01-24,125.0,128.7,127.03,128.49
4835,2019-01-23,127.93,129.3,128.8,128.5
4834,2019-01-22,127.01,129.501,128.8,128.2023
4833,2019-01-18,129.45,131.18,130.69,129.9
4832,2019-01-17,127.463,129.52,129.09,127.71
4831,2019-01-16,127.9,129.41,128.04,129.41
4830,2019-01-15,127.65,129.49,129.36,128.52
4829,2019-01-14,127.59,128.96,128.28,128.74
4828,2019-01-11,128.31,129.84,129.75,129.0
4827,2019-01-10,127.69,129.89,129.71,127.69
4826,2019-01-09,128.3278,130.24,128.93,129.83
4825,2019-01-08,127.73,130.5,129.96,128.18
4824,2019-01-07,126.797,128.349,127.01,127.63
4823,2019-01-04,126.73,128.65,127.83,127.12
4822,2019-01-03,125.36,128.27,125.72,128.135
4821,2019-01-02,126.28,128.38,127.75,128.13
4820,2018-12-31,127.42,129.55,129.05,128.18
4819,2018-12-28,126.75,128.75,127.27,127.91
4818,2018-12-27,123.07,127.41,127.41,125.87
4817,2018-12-26,122.007,126.7566,126.71,123.42
4816,2018-12-24,121.0,128.0,122.84,127.3004
4815,2018-12-21,127.12,130.6,128.09,127.7991
4814,2018-12-20,126.76,129.75,128.27,127.72
4813,2018-12-19,127.09,131.35,127.61,129.87
4812,2018-12-18,129.1864,132.8,130.42,132.05
4811,2018-12-17,126.83,131.65,129.14,128.32
4810,2018-12-14,130.2,145.38,133.0,144.3383
4809,2018-12-13,146.8,148.59,147.84,146.96
4808,2018-12-12,147.0,148.49,147.1,147.0
4807,2018-12-11,145.79,148.21,146.5,146.29
4806,2018-12-10,142.38,145.88,145.26,145.39
4805,2018-12-07,144.12,147.337,145.43,145.49
4804,2018-12-06,142.79,146.45,145.91,144.5
4803,2018-12-04,145.82,148.99,146.03,146.32
4802,2018-12-03,144.94,146.63,146.21,145.57
4801,2018-11-30,145.1,147.0,146.9,145.34
4800,2018-11-29,144.84,147.2,145.85,145.62
4799,2018-11-28,143.36,146.56,146.44,143.83
4798,2018-11-27,139.66,143.35,143.22,140.57
4797,2018-11-26,140.715,142.05,141.37,142.0
4796,2018-11-23,141.6,142.73,142.23,141.85
4795,2018-11-21,140.78,146.23,141.99,146.23
4794,2018-11-20,146.35,148.75,146.45,147.5
4793,2018-11-19,146.37,148.44,147.73,146.43
4792,2018-11-16,144.55,146.74,145.99,144.71
4791,2018-11-15,142.4775,144.51,144.5,143.41
4790,2018-11-14,143.5712,145.31,144.25,145.02
4789,2018-11-13,143.42,146.75,144.68,146.19
4788,2018-11-12,144.73,146.24,145.62,144.99
4787,2018-11-09,144.38,145.74,145.34,145.04
4786,2018-11-08,144.0,145.792,145.3,144.31
4785,2018-11-07,142.97,144.874,144.75,143.1
4784,2018-11-06,141.06,142.83,142.57,141.53
4783,2018-11-05,139.0,142.74,142.2,141.0
4782,2018-11-02,139.66,142.0,140.68,141.97
4781,2018-11-01,139.85,141.58,140.82,140.07
4780,2018-10-31,139.61,141.43,139.99,141.0
4779,2018-10-30,137.0,141.1,140.75,137.93
4778,2018-10-29,136.22,139.1,137.55,136.9927
4777,2018-10-26,135.33,139.296,136.97,137.94
4776,2018-10-25,135.05,139.09,138.47,137.4512
4775,2018-10-24,137.17,140.11,137.47,138.52
4774,2018-10-23,137.45,139.49,138.93,137.79
4773,2018-10-22,138.1434,139.26,138.68,138.61
4772,2018-10-19,137.91,140.0,139.05,138.34
4771,2018-10-18,137.71,139.81,139.5,139.2
4770,2018-10-17,136.21,140.0,139.46,136.23
4769,2018-10-16,134.75,137.99,136.56,134.75
4768,2018-10-15,133.4991,135.3,133.95,133.88
4767,2018-10-12,132.23,134.41,133.87,134.4
4766,2018-10-11,132.88,138.66,133.84,137.91
4765,2018-10-10,137.73,140.46,137.73,139.35
4764,2018-10-09,137.81,139.62,139.2,138.74
4763,2018-10-08,138.62,139.68,139.39,138.9
4762,2018-10-05,138.56,140.25,139.1,139.8
4761,2018-10-04,137.32,139.53,139.35,138.55
4760,2018-10-03,138.88,141.27,139.03,140.54
4759,2018-10-02,139.65,140.73,140.48,139.79
4758,2018-10-01,138.0,139.85,139.69,138.26
4757,2018-09-28,137.41,138.56,138.17,138.105
4756,2018-09-27,137.57,139.579,138.22,138.45
4755,2018-09-26,137.96,139.9984,138.16,138.95
4754,2018-09-25,138.4,140.96,138.64,140.53
4753,2018-09-24,140.23,142.5,140.47,142.1
4752,2018-09-21,141.69,143.13,142.88,142.18
4751,2018-09-20,140.51,142.14,141.98,140.82
4750,2018-09-19,140.05,140.99,140.46,140.76
