,Date,Low,High,Close,Open
5032,2019-11-01,108.41,110.2,108.57,109.2
5031,2019-10-31,107.72,109.25,108.9,108.39
5030,2019-10-30,106.91,108.74,108.55,107.55
5029,2019-10-29,105.6,107.92,107.55,105.92
5028,2019-10-28,105.11,106.34,106.22,105.45
5027,2019-10-25,104.64,105.7,105.44,105.59
5026,2019-10-24,104.45,106.19,105.29,105.73
5025,2019-10-23,104.81,106.07,105.22,105.38
5024,2019-10-22,104.28,107.41,104.49,106.93
5023,2019-10-21,106.46,108.61,106.62,108.45
5022,2019-10-18,107.96,108.91,108.12,108.47
5021,2019-10-17,108.09,108.98,108.51,108.63
5020,2019-10-16,107.42,108.74,108.5,108.17
5019,2019-10-15,107.53,108.48,108.19,108.11
5018,2019-10-14,107.31,108.21,107.57,107.94
5017,2019-10-11,107.44,108.74,107.58,108.52
5016,2019-10-10,105.78,107.61,107.42,105.87
5015,2019-10-09,105.45,107.02,106.75,105.8
5014,2019-10-08,105.0,106.74,105.01,106.5
5013,2019-10-07,107.17,108.36,107.26,107.92
5012,2019-10-04,107.38,108.65,108.56,107.54
5011,2019-10-03,105.2,107.26,106.93,105.87
5010,2019-10-02,105.24,108.45,105.94,108.12
5009,2019-10-01,108.05,109.7,108.22,108.84
5008,2019-09-30,107.46,109.06,108.62,107.61
5007,2019-09-27,106.5,108.52,107.32,107.9
5006,2019-09-26,106.28,107.98,107.4,107.94
5005,2019-09-25,106.73,109.76,107.62,109.54
5004,2019-09-24,109.48,112.05,109.76,111.14
5003,2019-09-23,110.7,111.38,110.84,110.79
5002,2019-09-20,110.65,111.6,111.18,111.46
5001,2019-09-19,110.13,111.73,111.01,110.33
5000,2019-09-18,108.87,110.32,110.0,109.5
4999,2019-09-17,108.96,110.03,109.34,109.05
4998,2019-09-16,108.83,109.79,109.05,109.5
4997,2019-09-13,109.3,110.48,109.67,110.0
4996,2019-09-12,109.39,111.24,110.38,109.5
4995,2019-09-11,107.5,109.37,108.63,108.2
4994,2019-09-10,106.08,107.58,107.48,107.22
4993,2019-09-09,107.55,109.25,107.93,108.8
4992,2019-09-06,107.42,108.75,108.69,107.87
4991,2019-09-05,107.23,108.76,107.72,108.76
4990,2019-09-04,107.16,108.1,107.66,107.89
4989,2019-09-03,106.79,107.65,107.47,107.24
4988,2019-08-30,107.32,108.45,107.89,108.43
4987,2019-08-29,107.3,108.7,107.8,108.44
4986,2019-08-28,106.97,108.46,108.0,106.98
4985,2019-08-27,106.95,107.83,107.54,106.97
4984,2019-08-26,106.17,106.96,106.89,106.61
4983,2019-08-23,105.55,108.03,106.05,107.66
4982,2019-08-22,107.23,108.31,107.83,108.0
4981,2019-08-21,106.47,108.01,107.79,106.61
4980,2019-08-20,106.74,109.7,106.91,107.98
4979,2019-08-19,103.02,104.43,104.18,103.5
4978,2019-08-16,100.6283,103.04,102.76,102.51
4977,2019-08-15,100.63,102.12,101.75,100.786
4976,2019-08-14,100.81,102.26,100.93,101.5
4975,2019-08-13,101.02,102.7,102.4,101.27
4974,2019-08-12,100.6596,102.01,101.0,101.67
4973,2019-08-09,101.46,102.99,101.67,101.88
4972,2019-08-08,100.93,102.6,102.28,101.53
4971,2019-08-07,99.13,101.84,101.39,100.36
4970,2019-08-06,99.34,101.29,101.24,100.0
4969,2019-08-05,98.43,101.52,99.51,100.31
4968,2019-08-02,101.45,102.76,102.33,102.02
4967,2019-08-01,101.55,103.71,102.37,101.86
4966,2019-07-31,101.24,103.95,101.94,103.53
4965,2019-07-30,102.5128,103.87,103.75,102.97
4964,2019-07-29,102.2,103.46,103.26,102.57
4963,2019-07-26,101.9,103.29,102.55,102.5
4962,2019-07-25,101.48,102.26,102.09,102.09
4961,2019-07-24,101.28,102.37,102.33,101.85
4960,2019-07-23,101.11,101.95,101.61,101.56
4959,2019-07-22,100.96,101.86,101.24,101.12
4958,2019-07-19,100.79,102.74,100.8,102.08
4957,2019-07-18,100.59,101.84,101.34,100.6
4956,2019-07-17,99.85,101.32,100.92,100.27
4955,2019-07-16,99.54,100.2622,99.87,99.98
4954,2019-07-15,98.9611,99.87,99.82,99.29
4953,2019-07-12,98.46,100.0,99.25,99.87
4952,2019-07-11,98.95,100.0,100.0,99.6
4951,2019-07-10,98.01,98.95,98.85,98.5
