,Date,Low,High,Close,Open
5032,2019-11-01,212.72,218.895,212.77,217.89
5031,2019-10-31,214.37,218.59,216.27,216.62
5030,2019-10-30,214.19,220.51,217.09,214.99
5029,2019-10-29,213.15,221.49,220.53,213.15
5028,2019-10-28,211.03,214.42,213.72,211.64
5027,2019-10-25,209.62,212.17,211.62,211.37
5026,2019-10-24,209.88,211.8,211.41,210.91
5025,2019-10-23,209.67,211.37,210.46,210.74
5024,2019-10-22,209.42,216.39,209.76,215.6
5023,2019-10-21,214.53,216.25,215.07,216.25
5022,2019-10-18,214.28,215.98,215.32,215.7
5021,2019-10-17,215.08,217.0,215.56,215.75
5020,2019-10-16,213.12,216.14,215.75,214.4
5019,2019-10-15,213.62,216.12,214.95,214.35
5018,2019-10-14,212.22,214.48,212.66,214.09
5017,2019-10-11,212.51,215.54,213.81,213.87
5016,2019-10-10,208.6,211.96,211.29,209.56
5015,2019-10-09,207.52,211.07,210.87,209.67
5014,2019-10-08,207.81,211.65,207.88,211.65
5013,2019-10-07,212.68,215.13,212.94,214.45
5012,2019-10-04,213.97,215.93,215.49,213.97
5011,2019-10-03,207.49,213.37,213.13,208.4
5010,2019-10-02,207.19,211.7,209.1,210.99
5009,2019-10-01,212.17,217.14,212.72,216.5
5008,2019-09-30,213.99,217.47,216.3,214.21
5007,2019-09-27,212.7,217.17,213.61,217.17
5006,2019-09-26,214.82,219.52,216.39,219.04
5005,2019-09-25,214.92,218.38,217.95,217.51
5004,2019-09-24,216.84,223.01,217.99,221.36
5003,2019-09-23,218.79,221.46,220.19,219.77
5002,2019-09-20,219.19,222.42,221.2,221.82
5001,2019-09-19,220.26,222.73,221.05,220.91
5000,2019-09-18,217.42,220.65,220.48,218.66
4999,2019-09-17,215.96,219.62,218.4,216.0
4998,2019-09-16,215.0,217.91,215.29,217.0
4997,2019-09-13,217.48,220.71,218.18,220.36
4996,2019-09-12,219.86,221.92,220.04,220.13
4995,2019-09-11,213.03,218.17,217.95,213.39
4994,2019-09-10,210.43,216.29,213.69,215.94
4993,2019-09-09,216.46,221.93,217.18,221.93
4992,2019-09-06,219.7,222.25,221.4,220.11
4991,2019-09-05,219.35,221.22,220.22,220.94
4990,2019-09-04,217.41,220.15,219.0,219.14
4989,2019-09-03,215.91,220.35,218.12,219.12
4988,2019-08-30,219.82,223.45,220.66,223.2
4987,2019-08-29,219.88,222.28,221.82,221.18
4986,2019-08-28,216.64,219.98,219.49,216.86
4985,2019-08-27,217.6,220.23,218.51,218.5
4984,2019-08-26,214.54,217.24,217.14,215.86
4983,2019-08-23,212.8,219.6,214.1,218.2
4982,2019-08-22,217.35,220.44,218.27,219.02
4981,2019-08-21,217.56,220.2,219.02,219.3
4980,2019-08-20,217.79,220.68,217.94,219.44
4979,2019-08-19,216.87,219.82,218.64,219.25
4978,2019-08-16,211.5,218.21,217.0,217.24
4977,2019-08-15,211.5,216.21,215.3,212.53
4976,2019-08-14,211.89,218.16,212.06,216.19
4975,2019-08-13,217.18,221.0,219.11,218.67
4974,2019-08-12,215.8573,219.71,217.19,218.14
4973,2019-08-09,216.43,219.97,218.74,217.0
4972,2019-08-08,211.81,217.99,217.79,211.91
4971,2019-08-07,206.58,211.98,211.74,209.24
4970,2019-08-06,206.4,211.33,211.21,207.16
4969,2019-08-05,204.25,210.4033,205.66,209.66
4968,2019-08-02,209.61,212.92,211.62,212.92
4967,2019-08-01,210.77,215.14,212.92,210.77
4966,2019-07-31,208.5001,214.37,209.78,213.22
4965,2019-07-30,213.27,215.52,213.61,213.99
4964,2019-07-29,213.3166,215.41,215.32,214.82
4963,2019-07-26,213.85,222.59,214.45,221.31
4962,2019-07-25,212.1,214.69,212.66,213.19
4961,2019-07-24,208.6995,213.72,213.57,210.0
4960,2019-07-23,207.54,209.65,209.37,208.43
4959,2019-07-22,207.8,209.87,208.49,208.37
4958,2019-07-19,207.98,211.13,208.02,210.93
4957,2019-07-18,206.02,210.53,210.45,206.764
4956,2019-07-17,206.1862,208.54,207.95,206.31
4955,2019-07-16,205.08,206.91,205.4,206.27
4954,2019-07-15,205.04,207.83,205.49,207.1
4953,2019-07-12,205.85,210.83,206.4,210.83
4952,2019-07-11,208.44,210.85,210.84,208.81
4951,2019-07-10,208.61,210.05,209.06,208.73
4950,2019-07-09,207.2,209.46,208.97,207.49
4949,2019-07-08,206.1,208.47,208.07,207.85
4948,2019-07-05,205.1,209.155,208.56,206.35
4947,2019-07-03,205.4455,208.34,208.15,206.48
4946,2019-07-02,204.64,207.07,205.8,206.0
4945,2019-07-01,204.32,207.95,206.54,207.64
4944,2019-06-28,202.28,205.72,205.58,203.0
4943,2019-06-27,201.525,203.13,202.54,202.83
4942,2019-06-26,200.82,204.7,202.37,203.52
4941,2019-06-25,203.16,205.33,203.8,204.49
4940,2019-06-24,203.0,204.975,204.48,203.59
4939,2019-06-21,201.21,203.91,202.72,203.15
4938,2019-06-20,201.39,204.11,203.28,202.53
4937,2019-06-19,197.56,200.75,200.49,198.18
4936,2019-06-18,196.3,198.36,198.18,197.05
4935,2019-06-17,195.1496,196.82,196.39,195.65
4934,2019-06-14,195.42,197.64,195.47,197.37
4933,2019-06-13,195.54,197.7,196.78,197.7
4932,2019-06-12,195.0,197.18,197.15,195.25
4931,2019-06-11,193.455,197.9,194.81,197.23
4930,2019-06-10,194.96,196.94,196.12,195.41
4929,2019-06-07,192.82,194.93,194.3,193.17
4928,2019-06-06,188.88,193.09,191.82,189.55
4927,2019-06-05,186.78,189.62,189.14,188.03
4926,2019-06-04,183.08,186.985,186.45,186.0
4925,2019-06-03,182.09,185.3,183.02,183.7
4924,2019-05-31,182.0,184.9643,183.24,182.85
4923,2019-05-30,181.55,183.9,183.75,181.6744
4922,2019-05-29,180.05,181.965,181.38,181.5282
4921,2019-05-28,181.52,186.62,181.98,184.9459
4920,2019-05-24,183.64,185.67,184.77,184.99
4919,2019-05-23,182.798,185.61,184.5,185.41
4918,2019-05-22,185.06,186.48,185.95,185.72
4917,2019-05-21,185.39,186.84,185.45,185.59
4916,2019-05-20,182.69,184.9,184.31,183.34
4915,2019-05-17,183.65,186.43,184.14,183.81
4914,2019-05-16,184.77,187.65,185.63,186.63
4913,2019-05-15,182.21,186.51,185.67,183.5
4912,2019-05-14,184.0951,186.39,184.18,184.49
4911,2019-05-13,183.0,185.56,184.2,184.31
4910,2019-05-10,181.87,187.82,187.3,186.86
4909,2019-05-09,184.25,188.17,188.01,186.15
4908,2019-05-08,186.29,189.01,188.05,187.74
4907,2019-05-07,185.54,190.3,187.53,189.24
4906,2019-05-06,187.33,191.26,191.02,187.33
4905,2019-05-03,188.9,191.15,190.71,191.15
4904,2019-05-02,186.507,189.11,188.85,186.92
4903,2019-05-01,186.08,188.9,186.7,188.75
4902,2019-04-30,186.75,189.15,188.91,187.54
4901,2019-04-29,185.95,188.16,187.29,187.83
4900,2019-04-26,185.68,188.67,188.28,187.9
4899,2019-04-25,183.6,187.815,187.17,183.6
4898,2019-04-24,181.93,188.8827,185.04,183.62
4897,2019-04-23,182.02,187.33,186.96,182.9916
4896,2019-04-22,179.445,183.69,182.16,180.29
4895,2019-04-18,174.84,180.83,180.26,180.08
4894,2019-04-17,180.0,189.5,180.24,189.42
4893,2019-04-16,187.896,194.87,189.04,194.72
4892,2019-04-15,192.4,193.9,193.42,193.13
4891,2019-04-12,192.52,196.37,192.67,196.22
4890,2019-04-11,194.7,196.26,195.33,196.26
4889,2019-04-10,194.83,197.83,196.14,195.65
4888,2019-04-09,194.51,196.69,195.97,195.07
4887,2019-04-08,192.79,196.04,195.74,195.43
4886,2019-04-05,193.7867,196.0,195.24,194.3
4885,2019-04-04,193.32,195.45,193.71,195.19
4884,2019-04-03,194.09,196.88,194.84,196.27
4883,2019-04-02,194.83,196.42,195.17,196.0
4882,2019-04-01,195.455,199.85,196.1,199.25
4881,2019-03-29,195.86,197.87,197.52,197.0153
4880,2019-03-28,194.36,196.43,196.12,196.21
4879,2019-03-27,193.57,196.78,196.2,195.9
4878,2019-03-26,195.36,197.32,196.08,196.76
4877,2019-03-25,193.329,195.4,195.17,194.73
4876,2019-03-22,194.4,197.722,194.44,197.13
4875,2019-03-21,196.06,198.71,198.0,196.06
4874,2019-03-20,195.39,198.75,197.14,196.13
4873,2019-03-19,193.28,196.27,196.12,194.88
4872,2019-03-18,192.5,194.61,193.58,194.61
4871,2019-03-15,192.91,194.8,194.04,193.07
4870,2019-03-14,191.12,193.35,193.35,192.8285
4869,2019-03-13,191.05,192.95,191.84,191.5177
4868,2019-03-12,189.33,191.23,190.8,189.78
4867,2019-03-11,187.26,189.46,189.22,188.3971
4866,2019-03-08,184.495,187.34,187.23,186.11
4865,2019-03-07,186.58,188.96,187.06,188.33
4864,2019-03-06,187.47,190.3384,188.34,190.01
4863,2019-03-05,188.691,190.67,189.93,190.56
4862,2019-03-04,187.45,193.0,190.67,192.6327
4861,2019-03-01,189.09,191.84,191.58,189.62
4860,2019-02-28,186.07,189.57,188.51,186.4773
4859,2019-02-27,184.33,187.56,186.77,184.33
4858,2019-02-26,184.18,187.32,185.24,187.32
4857,2019-02-25,186.23,189.69,187.48,189.14
4856,2019-02-22,187.42,188.79,188.67,187.85
4855,2019-02-21,186.54,188.27,187.58,186.94
4854,2019-02-20,186.113,188.09,187.64,186.24
4853,2019-02-19,185.73,187.4,186.11,186.84
4852,2019-02-15,186.3193,187.69,186.83,187.4
4851,2019-02-14,184.355,186.75,185.54,185.0
4850,2019-02-13,183.42,186.17,185.29,185.9
4849,2019-02-12,183.12,185.81,185.66,184.86
4848,2019-02-11,182.545,183.96,183.53,183.61
4847,2019-02-08,179.56,182.69,182.66,179.62
4846,2019-02-07,179.0476,180.81,180.75,179.24
4845,2019-02-06,178.5,180.8,180.7,179.14
4844,2019-02-05,177.48,179.85,179.35,177.9
4843,2019-02-04,175.74,177.72,177.14,176.9899
4842,2019-02-01,176.4733,178.99,177.31,177.89
4841,2019-01-31,176.85,179.48,177.57,178.34
4840,2019-01-30,174.79,181.18,179.39,176.01
4839,2019-01-29,160.79,163.43,161.07,162.13
4838,2019-01-28,161.89,165.21,162.0,164.72
4837,2019-01-25,165.4361,168.12,165.76,168.08
4836,2019-01-24,165.365,167.45,167.3,166.08
4835,2019-01-23,164.34,167.35,165.78,165.98
4834,2019-01-22,164.52,167.72,165.88,166.86
4833,2019-01-18,164.82,168.19,167.55,165.75
4832,2019-01-17,162.73,164.91,164.41,162.75
4831,2019-01-16,161.52,164.335,163.4,161.84
4830,2019-01-15,157.43,162.2049,162.14,157.52
4829,2019-01-14,157.55,159.41,157.66,158.23
4828,2019-01-11,158.9,160.615,159.49,160.06
4827,2019-01-10,158.21,161.45,161.34,159.01
4826,2019-01-09,159.43,161.88,159.8,160.03
4825,2019-01-08,156.54,159.465,158.9,158.05
4824,2019-01-07,156.352,159.683,157.0,156.78
4823,2019-01-04,154.24,158.86,157.06,154.24
4822,2019-01-03,151.63,155.78,152.46,155.02
4821,2019-01-02,153.43,157.72,154.5,155.87
4820,2018-12-31,155.28,158.045,156.75,155.3
4819,2018-12-28,153.61,156.62,154.8,155.0
4818,2018-12-27,148.015,154.6,154.6,149.28
4817,2018-12-26,144.75,150.83,150.83,145.47
4816,2018-12-24,144.95,150.58,145.0,150.04
4815,2018-12-21,150.63,156.65,150.73,153.79
4814,2018-12-20,152.63,157.91,153.79,157.16
4813,2018-12-19,156.0,162.345,158.0,161.81
4812,2018-12-18,159.81,163.5575,161.48,163.55
4811,2018-12-17,159.15,165.53,160.11,165.53
4810,2018-12-14,165.95,171.99,166.56,171.89
4809,2018-12-13,172.26,174.8378,172.86,173.26
4808,2018-12-12,171.747,174.92,172.61,172.67
4807,2018-12-11,171.28,174.17,171.66,172.78
4806,2018-12-10,167.01,171.87,171.22,169.44
4805,2018-12-07,167.69,172.26,168.85,172.02
4804,2018-12-06,167.15,172.44,172.44,170.42
4803,2018-12-04,171.75,175.24,172.25,173.8
4802,2018-12-03,172.87,176.0,173.89,175.65
4801,2018-11-30,171.1569,175.505,175.46,171.36
4800,2018-11-29,170.22,172.84,170.91,170.8
4799,2018-11-28,167.08,171.8676,171.68,167.2
4798,2018-11-27,164.53,167.16,167.07,165.54
4797,2018-11-26,163.81,166.34,165.91,165.07
4796,2018-11-23,163.77,166.07,164.8,163.77
4795,2018-11-21,162.86,166.96,164.34,165.97
4794,2018-11-20,165.25,167.65,165.95,166.71
4793,2018-11-19,166.3,171.98,167.72,171.98
4792,2018-11-16,167.81,172.52,172.16,167.87
4791,2018-11-15,162.29,168.74,168.72,164.94
